label,value,headline,bold,underline,italic,fontSize,Icon
Aktion der Woche,,true,,,,,
regionale Einkaufsführer,einkaufsführer,,,,,,
Unternehmen (nachhaltiger Konsum),,true,,,,,
Cafe & Restaurant ,Cafe Restaurant Gastronomie ,,,,,,
Lebensmittel ,bio Lebensmittel vegan weltladen,,,,,,
Kleidung & secondhand (fairfashion),fair fairfashion Kleidung secondhand futurefashion,,,,,,
Mobilität Fahrrad & Lastenrad,Mobilität fahrrad & lastenrad fahrradwerkstatt fahrradladen,,,,,,
Initiativen (sozial-ökologisches Engagement),,true,,,,,
sharing reparieren & Umsonstladen,umsonstladen sharing werkstatt reparatur reparieren upcycling kreislaufwirtschaft circulareconomy,,,,,,
refill unverpackt ,refill unverpackt zerowaste verpackungsfrei refill-station unverpacktladen,,,,true,,
Umwelt- & Klimaschutz for future,Umweltschutz Klimaschutz  fridaysforfuture  studentsforfuture  ScientistsForFuture parents4future architects4future ArtistsForFuture libraries4future educators4future filmmakers4future forfuture  psychologistsforfuture families4future EntrepreneursForFuture forestersforfuture friends4future healthforfuture psychologistsforfuture sportsforfuture teachersforfuture togetherforfuture Klima  Klimawandel Erneuerbare-energien  Umwelt naturschutz ,,,,,,
Bildung & Schule von morgen,Bildung bne Schulevonmorgen bildung-für-nachhaltige-entwicklung Schule Montessori Waldorfschule,,,,,,
Wohnprojekte & Lebensgemeinschaften,Wohnprojekt Lebensgemeinschaft Ökodorf,,true,,,,
Bewegungen des Wandels,,true,,,,,
Gemeinwohlökonomie,gwö ecg ecogood gwö-regionalgruppe energiefeld gwö-unterstützerin gwö-beraterin gwö-mitgliedsunternehmen gwö-peergruppe gwö-peerevaluiert gwö-auditiert,,,,,,
Grundeinkommen,bge grundeinkommen,,,,,,
Postwachstum,degrowth postwachstum rethinkeconomy,,,,,,
Transition Town,transitiontown transition,,,,,,
Permakultur & regenerative Landwirtschaft,agroforst waldgarten aquaponik biozyklisch-veganer-anbau veganer-gartenbau vegane-landwirtschaft essbare-stadt gemeinschaftsgarten urbangardening gardening urban-gardening gärtnern permakultur permaculture regenerative-landwirtschaft co2-land,,,,,,
Karte von morgen,kartevonmorgen kvm regpis thempis ideenhochdrei pioneersofchange pocsummit,,,,,,
,,,,,,,
Beispiele zur erweiterten Suche,,true,,,,,
#Fridays – filtern nur nach Stichworten,#Fridays,,,,,,
Fridays – durchsucht auch Beschreibung,Fridays,,,,,,
bio fair – findet alles was eins von beiden enthält,bio fair,,,,,,
"#bio #fair – findet nur, was beides enthält",#bio #fair,,,,,,
"tag:bio OR tag:fair – findet alles, was eines der tags enthält",tag:bio OR tag:fair,,,,,,
+Fridays +Future – beides muss enthalten sein,+Fridays +Future,,,,,,
+Fridays -Future – letzteres darf nicht enthalten sein,+Fridays -Future,,,,,,
